epoch,;train/box_loss,;train/obj_loss,;train/cls_loss,;metrics/precision,;metrics/recall,;metrics/mAP_0.5,;metrics/mAP_0.5:0.95,;val/box_loss,;val/obj_loss,;val/cls_loss,;x/lr0,;x/lr1,;x/lr2
44;0.036178,;0.010354,;0;0.911,;0.80794,;0.87085,;0.41309,;0.038385,;0.008527,;0;0.0092905,;0.0092905,;0.0092905
45;0.035485,;0.0099919,;0;0.92038,;0.80146,;0.86701,;0.42209,;0.037106,;0.0086444,;0;0.009274,;0.009274,;0.009274
46;0.035396,;0.010007,;0;0.87915,;0.81199,;0.86562,;0.42234,;0.038459,;0.0086154,;0;0.0092575,;0.0092575,;0.0092575
47;0.035034,;0.010224,;0;0.91821,;0.82172,;0.88219,;0.44095,;0.035649,;0.0081025,;0;0.009241,;0.009241,;0.009241
48;0.035214,;0.0098909,;0;0.93175,;0.81361,;0.88165,;0.44015,;0.035401,;0.0081892,;0;0.0092245,;0.0092245,;0.0092245
49;0.034237,;0.0097317,;0;0.92278,;0.81348,;0.87489,;0.44793,;0.035623,;0.0083712,;0;0.009208,;0.009208,;0.009208
50;0.033663,;0.0097346,;0;0.93901,;0.81361,;0.88142,;0.44271,;0.034983,;0.0080484,;0;0.0091915,;0.0091915,;0.0091915
51;0.034733,;0.010011,;0;0.92112,;0.82329,;0.87901,;0.43142,;0.036708,;0.0080432,;0;0.009175,;0.009175,;0.009175
52;0.035062,;0.009538,;0;0.90909,;0.79903,;0.87034,;0.42537,;0.037095,;0.0083974,;0;0.0091585,;0.0091585,;0.0091585
53;0.033281,;0.0098863,;0;0.89025,;0.81848,;0.87151,;0.44062,;0.035269,;0.0083297,;0;0.009142,;0.009142,;0.009142
54;0.03487,;0.0097037,;0;0.90573,;0.83144,;0.88899,;0.45854,;0.03484,;0.0081317,;0;0.0091255,;0.0091255,;0.0091255
55;0.033536,;0.0096755,;0;0.92949,;0.82255,;0.87804,;0.45609,;0.035494,;0.0080411,;0;0.009109,;0.009109,;0.009109
56;0.033544,;0.009668,;0;0.9134,;0.82901,;0.88891,;0.44992,;0.035838,;0.0080391,;0;0.0090925,;0.0090925,;0.0090925
57;0.033199,;0.0097429,;0;0.92227,;0.81728,;0.87877,;0.44779,;0.036322,;0.0082703,;0;0.009076,;0.009076,;0.009076
58;0.032816,;0.0096382,;0;0.91158,;0.82496,;0.87587,;0.43955,;0.036484,;0.0079839,;0;0.0090595,;0.0090595,;0.0090595
59;0.033652,;0.010104,;0;0.91777,;0.83225,;0.88509,;0.44796,;0.034915,;0.0081176,;0;0.009043,;0.009043,;0.009043
60;0.033308,;0.0099242,;0;0.91301,;0.82503,;0.88169,;0.44085,;0.036204,;0.0080471,;0;0.0090265,;0.0090265,;0.0090265
61;0.033053,;0.0096176,;0;0.90474,;0.82901,;0.89162,;0.44834,;0.036322,;0.0080177,;0;0.00901,;0.00901,;0.00901
62;0.032491,;0.0097643,;0;0.92448,;0.83334,;0.88729,;0.47013,;0.034365,;0.0077709,;0;0.0089935,;0.0089935,;0.0089935
63;0.03179,;0.0098104,;0;0.9228,;0.81524,;0.87905,;0.45267,;0.035414,;0.0079428,;0;0.008977,;0.008977,;0.008977
64;0.032197,;0.0095297,;0;0.91472,;0.83225,;0.88274,;0.45069,;0.03491,;0.0082502,;0;0.0089605,;0.0089605,;0.0089605
65;0.031564,;0.0094515,;0;0.93102,;0.83121,;0.89144,;0.46123,;0.034481,;0.0079155,;0;0.008944,;0.008944,;0.008944
